     0   0.929389 -0.00105648 0.92833292
  3.89   0.466445    1.08347   -0.03149  1.0519822
   3.9   0.465306    1.08416 -0.0321677  1.0519968
  3.91   0.464027    1.08493 -0.0329186  1.0520097
  3.92   0.462593    1.08576  -0.033739  1.0520209
  3.93   0.460992    1.08665 -0.0346213  1.0520303
  3.94   0.459208    1.08759 -0.0355521  1.0520377
  3.95   0.457226    1.08855 -0.0365093  1.0520427
  3.96   0.455028    1.08951 -0.0374598  1.0520457
  3.97   0.452598     1.0904  -0.038355  1.0520463
  3.98   0.449916    1.09117 -0.0391287  1.0520437
  3.99   0.446963    1.09173 -0.0396958  1.0520381
     4   0.443722    1.09199 -0.0399567    1.05203
  4.01   0.440174    1.09183 -0.0398109  1.0520208
  4.02   0.436305    1.09119 -0.0391793  1.0520118
  4.03   0.432102    1.09003 -0.0380277   1.052002
  4.04   0.427559    1.08834  -0.036357  1.0519832
  4.05    0.42268    1.08603 -0.0340977   1.051935
  4.06   0.417483    1.08268 -0.0308539  1.0518283
  4.07   0.412008    1.07727 -0.0256051  1.0516667
  4.08   0.406323    1.06864 -0.0170392  1.0516041
  4.09   0.400542      1.058 -0.00603065  1.0519695
   4.1    0.39484    1.05193 0.000595064  1.0525247
  4.11   0.389477    1.05735 -0.00509368  1.0522545
  4.12    0.38483    1.07122 -0.0196311  1.0515923
  4.13   0.381432    1.08466 -0.0332611  1.0513957
  4.14   0.380014    1.09318 -0.0416779   1.051504
  4.15    0.38155    1.09715 -0.0454894  1.0516577
  4.16   0.387284    1.09815 -0.0463744   1.051777
  4.17   0.398706    1.09747 -0.0456003  1.0518659
  4.18   0.417453    1.09595 -0.0439248  1.0520279
  4.19   0.445063    1.09405 -0.0417942  1.0522586
   4.2   0.482574      1.092 -0.0395118  1.0524846
  4.21   0.530015    1.09004 -0.0373305  1.0527081
  4.22   0.585966     1.0884 -0.0354729  1.0529241
  4.23   0.647445    1.08723 -0.0341005  1.0531297
  4.24   0.710314    1.08659 -0.0332675  1.0533237
  4.25    0.77015    1.08641 -0.0329061  1.0535086
  4.26   0.823198    1.08655 -0.0328604  1.0536888
  4.27   0.867029    1.08682 -0.0329514  1.0538682
  4.28   0.900691    1.08708 -0.0330325  1.0540481
  4.29   0.924452    1.08724 -0.0330148  1.0542283
   4.3   0.939362    1.08727 -0.0328641  1.0544074
  4.31   0.946839    1.08717 -0.0325845   1.054584
  4.32    0.94836    1.08696 -0.0322002  1.0547572
  4.33   0.945289    1.08667 -0.0317423  1.0549266
  4.34   0.938793    1.08633  -0.031241  1.0550917
  4.35   0.929823    1.08603 -0.0307221  1.0553061
  4.36   0.919134    1.08578 -0.0302058    1.05557
  4.37   0.907309    1.08554 -0.0297071  1.0558296
  4.38   0.894789    1.08532 -0.0292367  1.0560846
  4.39   0.881908    1.08514 -0.0288018  1.0563349
   4.4    0.86891    1.08499 -0.0284072  1.0565802
  4.41   0.855975    1.08488 -0.0280558    1.05682
  4.42   0.843233     1.0848 -0.0277493  1.0570542
  4.43   0.830774    1.08477 -0.0274886  1.0572825
  4.44   0.818661    1.08478 -0.0272741  1.0575047
  4.45   0.806935    1.08483 -0.0271059  1.0577205
  4.46   0.795623    1.08491  -0.026984  1.0579297
  4.47   0.784737    1.08504 -0.0269082  1.0581322
  4.48   0.774282    1.08521 -0.0268788  1.0583279
  4.49   0.764258    1.08541 -0.0268959  1.0585166
   4.5   0.754659    1.08566 -0.0269597  1.0586982
  4.51   0.745474    1.08594 -0.0270709  1.0588727
  4.52   0.736694    1.08627   -0.02723  1.0590401
  4.53   0.728305    1.08664  -0.027438  1.0592005
  4.54   0.720294    1.08705 -0.0276959  1.0593537
  4.55   0.712646     1.0875 -0.0280046     1.0595
  4.56   0.705347      1.088 -0.0283654  1.0596393
  4.57   0.698383    1.08855 -0.0287793  1.0597718
  4.58   0.691739    1.08914 -0.0292473  1.0598976
  4.59   0.685401    1.08979 -0.0297701  1.0600168
   4.6   0.679357    1.09048 -0.0303477  1.0601296
  4.61   0.673588    1.09122 -0.0309794  1.0602372
  4.62   0.668081      1.092  -0.031663    1.06034
  4.63   0.662829    1.09283 -0.0323937  1.0604366
  4.64   0.657822    1.09369 -0.0331626  1.0605269
  4.65   0.653047    1.09456 -0.0339531  1.0606107
  4.66   0.648494    1.09542 -0.0347346  1.0606871
  4.67   0.644154    1.09621 -0.0354507  1.0607546
  4.68   0.640016    1.09681 -0.0359977  1.0608101
  4.69   0.636072    1.09704 -0.0361884  1.0608491
   4.7   0.632313    1.09657 -0.0356997  1.0608662
  4.71    0.62873    1.09489 -0.0340258  1.0608611
  4.72   0.625317    1.09139 -0.0305345  1.0608558
  4.73   0.622065    1.08579 -0.0248745  1.0609196
  4.74   0.618967    1.07913 -0.0179922  1.0611333
  4.75   0.616017    1.07441 -0.0130137  1.0613976
  4.76   0.613208    1.07492  -0.013509  1.0614096
  4.77   0.610535    1.08067 -0.0195076  1.0611651
  4.78   0.607992    1.08841 -0.0274416  1.0609682
  4.79   0.605572    1.09505 -0.0341269  1.0609247
   4.8   0.603272    1.09953 -0.0385753  1.0609555
  4.81   0.601086    1.10213 -0.0411356  1.0609901
  4.82   0.599009    1.10347 -0.0424613  1.0610055
  4.83   0.597038    1.10409 -0.0430861  1.0610016
  4.84   0.595167    1.10435 -0.0433584  1.0609895
  4.85   0.593394    1.10446 -0.0434847  1.0609737
  4.86   0.591714    1.10453 -0.0435811  1.0609514
  4.87   0.590123    1.10463 -0.0437093  1.0609246
  4.88   0.588619    1.10479 -0.0438994  1.0608942
  4.89   0.587198    1.10502 -0.0441626  1.0608608
   4.9   0.585857    1.10533 -0.0444977  1.0608289
  4.91   0.584594    1.10569 -0.0448955  1.0607991
  4.92   0.583405    1.10611 -0.0453405  1.0607673
  4.93   0.582288    1.10655 -0.0458128  1.0607339
  4.94   0.581241    1.10699 -0.0462895   1.060699
  4.95   0.580261    1.10741  -0.046747   1.060663
  4.96   0.579346    1.10779 -0.0471628  1.0606254
  4.97   0.578495     1.1081 -0.0475163   1.060586
  4.98   0.577705    1.10834 -0.0477848  1.0605503
